                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.4961,                  1.025,                0.92579,                 0.7564,                0.62062,                0.68941,                0.48327,                 1.5034,                0.98973,                0.93915,             0.00036097,             0.00036097,             0.00036097
                     81,                 1.5129,                 1.0376,                0.92536,                0.74475,                 0.6137,                0.67743,                0.48391,                 1.4887,                0.97984,                0.93723,             0.00035806,             0.00035806,             0.00035806
                     82,                  1.531,                 1.0512,                0.92705,                0.76731,                0.61774,                0.68243,                  0.476,                 1.5105,                0.98829,                0.94274,             0.00035515,             0.00035515,             0.00035515
                     83,                   1.53,                 1.0357,                0.93122,                0.75244,                0.62041,                0.68394,                0.47739,                 1.5051,                0.99622,                0.93946,             0.00035224,             0.00035224,             0.00035224
                     84,                 1.5213,                 1.0248,                0.92859,                0.77483,                0.62827,                0.68047,                0.47834,                 1.4957,                 1.0014,                0.93929,             0.00034933,             0.00034933,             0.00034933
                     85,                  1.525,                 1.0226,                0.92618,                0.78983,                 0.6312,                0.69267,                0.48028,                 1.5088,                0.98194,                0.94031,             0.00034642,             0.00034642,             0.00034642
                     86,                 1.4984,                 1.0099,                0.92679,                0.76143,                0.62796,                0.68898,                0.48142,                 1.4934,                0.98151,                 0.9378,             0.00034351,             0.00034351,             0.00034351
                     87,                 1.4949,                 1.0016,                0.92334,                0.78418,                0.62699,                0.68583,                 0.4819,                 1.5059,                0.98396,                 0.9374,              0.0003406,              0.0003406,              0.0003406
                     88,                 1.5164,                  1.024,                0.92176,                0.77378,                0.62194,                0.70137,                0.50119,                 1.4739,                0.97688,                0.93351,             0.00033769,             0.00033769,             0.00033769
                     89,                 1.4854,                 1.0003,                0.92409,                0.78955,                0.62251,                0.69423,                0.48755,                 1.4907,                 0.9674,                0.93848,             0.00033478,             0.00033478,             0.00033478
                     90,                 1.4876,                 0.9969,                0.92279,                0.75395,                0.64711,                0.70218,                0.49018,                 1.4952,                0.96782,                0.93834,             0.00033187,             0.00033187,             0.00033187
                     91,                 1.5128,                  1.016,                0.92935,                0.79807,                0.63389,                 0.7053,                 0.4923,                 1.4804,                0.95999,                0.93427,             0.00032896,             0.00032896,             0.00032896
                     92,                  1.483,                0.99789,                0.92233,                0.76327,                0.65015,                0.69353,                0.48735,                 1.4794,                0.98267,                0.93428,             0.00032605,             0.00032605,             0.00032605
                     93,                 1.4993,                 1.0086,                0.92054,                0.79944,                0.63388,                 0.7067,                0.49785,                 1.4825,                0.97158,                0.93372,             0.00032314,             0.00032314,             0.00032314
                     94,                 1.5202,                 1.0108,                0.92473,                0.80673,                0.63269,                0.70601,                0.49635,                 1.5263,                0.97138,                0.94558,             0.00032022,             0.00032022,             0.00032022
                     95,                 1.4934,                0.99066,                0.92508,                0.77609,                0.64515,                0.70438,                0.49705,                 1.4731,                0.95432,                 0.9346,             0.00031731,             0.00031731,             0.00031731
                     96,                 1.4842,                0.99743,                0.92148,                0.81122,                0.62077,                0.70348,                0.50146,                 1.4726,                0.95522,                0.93441,              0.0003144,              0.0003144,              0.0003144
                     97,                  1.501,                0.99469,                 0.9236,                0.79808,                0.63906,                0.71064,                0.50142,                 1.4859,                0.94575,                0.93841,             0.00031149,             0.00031149,             0.00031149
                     98,                 1.4747,                0.97434,                0.91683,                0.82232,                0.63185,                0.71283,                0.49774,                 1.4868,                0.95333,                0.93442,             0.00030858,             0.00030858,             0.00030858
                     99,                 1.4627,                0.98237,                0.91944,                0.79489,                0.65324,                0.70869,                0.49832,                 1.4773,                0.94492,                0.93314,             0.00030567,             0.00030567,             0.00030567
                    100,                 1.4681,                 0.9723,                0.91695,                0.82886,                 0.6261,                0.70771,                0.50248,                 1.4621,                0.94251,                0.92919,             0.00030276,             0.00030276,             0.00030276
                    101,                 1.4802,                0.97521,                0.92249,                0.82611,                0.63673,                0.70927,                0.49987,                 1.4812,                 0.9412,                0.93563,             0.00029985,             0.00029985,             0.00029985
                    102,                 1.4873,                0.97461,                 0.9193,                0.79162,                0.65537,                0.71057,                0.49889,                 1.4766,                0.93977,                0.93429,             0.00029694,             0.00029694,             0.00029694
                    103,                 1.4838,                 0.9747,                0.92167,                0.79613,                0.63602,                0.70584,                0.49951,                 1.4601,                0.94904,                0.93246,             0.00029403,             0.00029403,             0.00029403
                    104,                 1.4678,                0.96387,                0.91982,                0.81653,                0.63062,                 0.7136,                0.50457,                 1.4604,                0.93657,                 0.9305,             0.00029112,             0.00029112,             0.00029112
                    105,                 1.4747,                0.95834,                0.91955,                0.84631,                0.63356,                 0.7164,                0.50353,                 1.4515,                0.93431,                0.92895,             0.00028821,             0.00028821,             0.00028821
                    106,                 1.4761,                0.97183,                0.91757,                0.81834,                 0.6478,                0.72173,                0.50872,                 1.4761,                0.93975,                0.93229,              0.0002853,              0.0002853,              0.0002853
